id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
12,1,1,1,http://cpanel.gfsecurities.ca,cpanel.gfsecurities.ca,1,cpanel.gfsecurities.ca,66.96.160.149,1,1,80,200,OK,This site is under development,Apache/2,66.96.128.0/18,AS29873,BIZLAND-SD,美国马萨诸塞波士顿,未知,CensysAPIQuery
16,0,0,1,https://cpanel.gfsecurities.ca,cpanel.gfsecurities.ca,1,cpanel.gfsecurities.ca,66.96.160.149,1,0,443,,"(ReadTimeoutError(""HTTPSConnectionPool(host='cpanel.gfsecurities.ca', port=443): Read timed out. (read timeout=3.05)""),)",,,66.96.128.0/18,AS29873,BIZLAND-SD,美国马萨诸塞波士顿,未知,CensysAPIQuery
4,1,1,1,http://cpcalendars.gfsecurities.ca,cpcalendars.gfsecurities.ca,1,cpcalendars.gfsecurities.ca,66.96.160.149,1,1,80,200,OK,This site is under development,Apache/2,66.96.128.0/18,AS29873,BIZLAND-SD,美国马萨诸塞波士顿,未知,CensysAPIQuery
7,1,1,1,https://cpcalendars.gfsecurities.ca,cpcalendars.gfsecurities.ca,1,cpcalendars.gfsecurities.ca,66.96.160.149,1,1,443,200,OK,This site is under development,Apache/2,66.96.128.0/18,AS29873,BIZLAND-SD,美国马萨诸塞波士顿,未知,CensysAPIQuery
1,1,1,1,http://cpcontacts.gfsecurities.ca,cpcontacts.gfsecurities.ca,1,cpcontacts.gfsecurities.ca,66.96.160.149,1,1,80,200,OK,This site is under development,Apache/2,66.96.128.0/18,AS29873,BIZLAND-SD,美国马萨诸塞波士顿,未知,CensysAPIQuery
2,1,1,1,https://cpcontacts.gfsecurities.ca,cpcontacts.gfsecurities.ca,1,cpcontacts.gfsecurities.ca,66.96.160.149,1,1,443,200,OK,This site is under development,Apache/2,66.96.128.0/18,AS29873,BIZLAND-SD,美国马萨诸塞波士顿,未知,CensysAPIQuery
3,1,1,1,http://ded.gfsecurities.ca,ded.gfsecurities.ca,1,ded.gfsecurities.ca,104.193.172.118,1,1,80,200,OK,'\n',Apache,104.193.172.0/23,AS54643,IDIGITAL,加拿大不列颠哥伦比亚温哥华,未知,CensysAPIQuery
5,1,1,1,https://ded.gfsecurities.ca,ded.gfsecurities.ca,1,ded.gfsecurities.ca,104.193.172.118,1,1,443,200,OK,'\n',Apache,104.193.172.0/23,AS54643,IDIGITAL,加拿大不列颠哥伦比亚温哥华,未知,CensysAPIQuery
13,0,0,1,https://gfsecurities.ca,gfsecurities.ca,0,gfsecurities.ca,71.19.248.43,1,0,443,,"(ProtocolError('Connection aborted.', FileNotFoundError(2, 'No such file or directory')),)",,,71.19.248.0/24,AS11831,eSecureData,加拿大不列颠哥伦比亚温哥华,未知,CensysAPIQuery
17,0,0,1,http://gfsecurities.ca,gfsecurities.ca,0,gfsecurities.ca,71.19.248.43,1,0,80,,"(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')),)",,,71.19.248.0/24,AS11831,eSecureData,加拿大不列颠哥伦比亚温哥华,未知,CensysAPIQuery
10,1,1,1,http://mail.gfsecurities.ca,mail.gfsecurities.ca,1,"ams-efz.ms-acdc.office.com,ams-efz.ms-acdc.office.com,ams-efz.ms-acdc.office.com,ams-efz.ms-acdc.office.com","52.97.135.114,40.101.82.66,40.101.12.18,40.101.81.130","1,1,1,1",1,80,200,OK,URL过滤,,"52.97.0.0/16,40.96.0.0/13,40.96.0.0/13,40.96.0.0/13","AS8075,AS8075,AS8075,AS8075","MICROSOFT-CORP-MSN-AS-BLOCK,MICROSOFT-CORP-MSN-AS-BLOCK,MICROSOFT-CORP-MSN-AS-BLOCK,MICROSOFT-CORP-MSN-AS-BLOCK","美国华盛顿雷德蒙德,美国,美国,美国","微软,微软,微软,微软",CensysAPIQuery
18,0,1,1,https://mail.gfsecurities.ca,mail.gfsecurities.ca,1,"ams-efz.ms-acdc.office.com,ams-efz.ms-acdc.office.com,ams-efz.ms-acdc.office.com,ams-efz.ms-acdc.office.com","52.97.135.114,40.101.82.66,40.101.12.18,40.101.81.130","1,1,1,1",1,443,500,Internal Server Error,Error,"Microsoft-IIS/10.0,ASP.NET","52.97.0.0/16,40.96.0.0/13,40.96.0.0/13,40.96.0.0/13","AS8075,AS8075,AS8075,AS8075","MICROSOFT-CORP-MSN-AS-BLOCK,MICROSOFT-CORP-MSN-AS-BLOCK,MICROSOFT-CORP-MSN-AS-BLOCK,MICROSOFT-CORP-MSN-AS-BLOCK","美国华盛顿雷德蒙德,美国,美国,美国","微软,微软,微软,微软",CensysAPIQuery
8,1,1,1,http://webdisk.gfsecurities.ca,webdisk.gfsecurities.ca,1,webdisk.gfsecurities.ca,66.96.160.149,1,1,80,200,OK,This site is under development,Apache/2,66.96.128.0/18,AS29873,BIZLAND-SD,美国马萨诸塞波士顿,未知,CensysAPIQuery
14,1,1,1,https://webdisk.gfsecurities.ca,webdisk.gfsecurities.ca,1,webdisk.gfsecurities.ca,66.96.160.149,1,1,443,200,OK,This site is under development,Apache/2,66.96.128.0/18,AS29873,BIZLAND-SD,美国马萨诸塞波士顿,未知,CensysAPIQuery
9,1,1,1,http://webmail.gfsecurities.ca,webmail.gfsecurities.ca,1,webmail.gfsecurities.ca,66.96.160.149,1,1,80,200,OK,URL过滤,,66.96.128.0/18,AS29873,BIZLAND-SD,美国马萨诸塞波士顿,未知,CensysAPIQuery
11,0,0,1,https://webmail.gfsecurities.ca,webmail.gfsecurities.ca,1,webmail.gfsecurities.ca,66.96.160.149,1,0,443,,"(ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)),)",,,66.96.128.0/18,AS29873,BIZLAND-SD,美国马萨诸塞波士顿,未知,CensysAPIQuery
6,1,1,1,https://www.gfsecurities.ca,www.gfsecurities.ca,1,gfsec.5f693b95.202007.cbricdns.com,71.19.248.46,1,1,443,200,OK,Home,,71.19.248.0/24,AS11831,eSecureData,加拿大不列颠哥伦比亚温哥华,未知,CensysAPIQuery
15,0,0,1,http://www.gfsecurities.ca,www.gfsecurities.ca,1,gfsec.5f693b95.202007.cbricdns.com,71.19.248.46,1,1,80,,"(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')),)",,,71.19.248.0/24,AS11831,eSecureData,加拿大不列颠哥伦比亚温哥华,未知,CensysAPIQuery
